0.0	金剛般若波羅蜜經
0.1	元魏天竺三藏菩提流支譯
1.1	如是我聞：一時
1.2	婆伽婆，在舍婆提城祇樹給孤獨園，與大比丘眾千二百五十人俱。
1.3	爾時，世尊食時，著衣持鉢，入舍婆提大城乞食。
1.4	於其城中，次第乞食已，還至本處。飯食訖，收衣鉢，洗足已，如常敷座，結加趺坐，端身而住，正念不動。
1.5	爾時，諸比丘來詣佛所，到已，頂禮佛足，右遶三匝，退坐一面。
2.1	（缺譯）
2.2	爾時，慧命須菩提，在大眾中，即從座起，偏袒右肩，右膝著地，向佛合掌，恭敬而立，白佛言：
2.3	「希有！世尊！如來、應供、正遍知，善護念諸菩薩，善付囑諸菩薩。
2.4	世尊！云何菩薩大乘中，發阿耨多羅三藐三菩提心？應云何住？云何修行？云何降伏其心？」
2.5	爾時，佛告須菩提：「善哉，善哉！須菩提！如汝所說：
2.6	『如來善護念諸菩薩，善付囑諸菩薩。』
2.7	汝今諦聽，當為汝說。如菩薩大乘中，發阿耨多羅三藐三菩提心，應如是住，如是修行，如是降伏其心。」
2.8	須菩提白佛言：「世尊！如是。願樂欲聞。」
3.1	佛告須菩提：「諸菩薩生如是心：
3.2	『所有一切眾生，眾生所攝，若卵生、若胎生、若濕生、若化生，若有色、若無色，若有想、若無想、若非有想非無想，所有眾生界，眾生所攝，我皆令入無餘涅槃而滅度之。』
3.3	如是滅度無量無邊眾生，實無眾生得滅度者。
3.4	何以故？須菩提！若菩薩有眾生相，即非菩薩。
3.5	何以故非？須菩提！若菩薩起眾生相、人相、壽者相，則不名菩薩。
4.1	「復次，須菩提！菩薩不住於事行於布施，無所住行於布施，
4.2	不住色布施，不住聲、香、味、觸、法布施。
4.3	須菩提！菩薩應如是布施，不住於相想。
4.4	何以故？若菩薩不住相布施，其福德聚不可思量。
4.5	「須菩提！於汝意云何？東方虛空可思量不？」
4.6	須菩提言：「不也，世尊！」
4.7	佛言：「如是，須菩提！南西北方四維上下虛空，可思量不？」
4.8	須菩提言：「不也，世尊！」
4.9	佛言：「如是，如是！須菩提！菩薩無住相布施，福德聚亦復如是不可思量。」
4.10	佛復告須菩提：「菩薩但應如是行於布施。」
5.1	「須菩提！於意云何？可以相成就見如來不？」
5.2	須菩提言：「不也，世尊！不可以相成就得見如來。
5.3	何以故？如來所說相，即非相。」
5.4	佛告須菩提：
5.5	「凡所有相，皆是妄語。若見諸相非相，則非妄語。如是諸相非相，則見如來。」
6.1	須菩提白佛言：
6.2	「世尊！頗有眾生，於未來世末世，得聞如是修多羅章句，生實相不？」
6.3	佛告須菩提：「莫作是說：
6.4	『頗有眾生，於未來世末世，得聞如是修多羅章句，生實相不？』」
6.5	佛復告須菩提：「有未來世末世，有菩薩摩訶薩，法欲滅時，有持戒修福德智慧者，於此修多羅章句，能生信心，以此為實。」
6.6	佛復告須菩提：「當知彼菩薩摩訶薩，非於一佛二佛三四五佛所修行供養，非於一佛二佛三四五佛所而種善根。」
6.7	佛復告須菩提：「已於無量百千萬諸佛所修行供養，無量百千萬諸佛所種諸善根。
6.8	聞是修多羅，乃至一念能生淨信。
6.9	須菩提！如來悉知是諸眾生，如來悉見是諸眾生。須菩提！是諸菩薩，生如是無量福德聚，取如是無量福德。
